,glide gscore,glide hbond,,,,
ZINC000100042108_Cilomilast-1,-9.506,0,,,,Gln443
4748-5,-9.459,-0.276:HIS 2.56-THR 2.15,,,,Phe446
ZINC000000537822_haloperidol-1,-8.877,-0.32,,,,Asn395
ZINC000000592419_Roflumilast-2,-8.874,-0.408,,,,Tyr403
4748-3,-8.713,-0.008,,,,Ile410
ZINC000001530695_thioridazin-1,-8.579,0,,,,
4748-4,-8.576,-0.06,,,,
ZINC000001536779_Duoloxetin-1,-8.547,0,,,,
ZINC000000592419_Roflumilast-1,-8.431,-0.482,,,,
ZINC000084758479_brexpiprazol-2,-8.419,-0.433,,,,
ZINC000000044027_chlorpramazin-1,-8.387,0,,,,
ZINC000000004234_Ibudilast-1,-8.376,-0.32,,,,
ZINC000000538312_respridone-1,-8.293,0,,,,
ZINC000019203912_fluphenazin-4,-8.254,-0.165,,,,
ZINC000084758479_brexpiprazol-3,-8.229,-0.14,,,,
ZINC000000537822_haloperidol-2,-8.201,-0.3,,,,
ZINC000001481956_paliperidon_2-2,-8.193,-0.036,,,,
ZINC000000538550_zipracidon-1,-8.151,-0.028,,,,
115237-2,-8.14,-0.369,,,,
ZINC000004214700_paliperidon_1-2,-8.14,-0.369,,,,
ZINC000000004785_carbamazepin-1,-8.101,-0.085,,,,
ZINC000001846088_amisulpride_2-1,-8.094,-0.634,,,,
ZINC000000527386_paroxetin-1,-8.052,-0.453,,,,
ZINC000019203912_fluphenazin-5,-8.045,-0.156,,,,
ZINC000001851149 (1)_Arepiprazole-2,-8.024,-0.32,,,,
ZINC000001851149-3,-8.024,-0.32,,,,
