title,r_psp_MMGBSA_dG_Bind,r_psp_MMGBSA_dG_Bind_Coulomb,r_psp_MMGBSA_dG_Bind_Covalent,r_psp_MMGBSA_dG_Bind_Hbond,r_psp_MMGBSA_dG_Bind_Lipo,r_psp_MMGBSA_dG_Bind_Packing,r_psp_MMGBSA_dG_Bind_SelfCont,r_psp_MMGBSA_dG_Bind_Solv_GB,r_psp_MMGBSA_dG_Bind_Solv_SA,r_psp_MMGBSA_dG_Bind_vdW,r_psp_Lig_Strain_Energy,r_psp_Lig_Strain_Coulomb,r_psp_Lig_Strain_Covalent,r_psp_Lig_Strain_Hbond,r_psp_Lig_Strain_Lipo,r_psp_Lig_Strain_Packing,r_psp_Lig_Strain_SelfCont,r_psp_Lig_Strain_Solv_GB,r_psp_Lig_Strain_Solv_SA,r_psp_Lig_Strain_vdW,r_psp_Ligand_Energy,r_psp_Ligand_Coulomb,r_psp_Ligand_Covalent,r_psp_Ligand_Hbond,r_psp_Ligand_Lipo,r_psp_Ligand_Packing,r_psp_Ligand_SelfCont,r_psp_Ligand_Solv_GB,r_psp_Ligand_Solv_SA,r_psp_Ligand_vdW,r_psp_Complex_Energy,r_psp_Complex_Coulomb,r_psp_Complex_Covalent,r_psp_Complex_Hbond,r_psp_Complex_Lipo,r_psp_Complex_Packing,r_psp_Complex_SelfCont,r_psp_Complex_Solv_GB,r_psp_Complex_Solv_SA,r_psp_Complex_vdW,r_psp_Ligand_Energy,r_psp_Ligand_Coulomb,r_psp_Ligand_Covalent,r_psp_Ligand_Hbond,r_psp_Ligand_Lipo,r_psp_Ligand_Packing,r_psp_Ligand_SelfCont,r_psp_Ligand_Solv_GB,r_psp_Ligand_Solv_SA,r_psp_Ligand_vdW,r_psp_Receptor_Energy,r_psp_Receptor_Coulomb,r_psp_Receptor_Covalent,r_psp_Receptor_Hbond,r_psp_Receptor_Lipo,r_psp_Receptor_Packing,r_psp_Receptor_SelfCont,r_psp_Receptor_Solv_GB,r_psp_Receptor_Solv_SA,r_psp_Receptor_vdW,r_psp_MMGBSA_dG_Bind(NS),r_psp_MMGBSA_dG_Bind(NS)_Coulomb,r_psp_MMGBSA_dG_Bind(NS)_Covalent,r_psp_MMGBSA_dG_Bind(NS)_Hbond,r_psp_MMGBSA_dG_Bind(NS)_Lipo,r_psp_MMGBSA_dG_Bind(NS)_Packing,r_psp_MMGBSA_dG_Bind(NS)_SelfCont,r_psp_MMGBSA_dG_Bind(NS)_Solv_GB,r_psp_MMGBSA_dG_Bind(NS)_Solv_SA,r_psp_MMGBSA_dG_Bind(NS)_vdW,r_psp_Rec_Strain_Energy,r_psp_Rec_Strain_Coulomb,r_psp_Rec_Strain_Covalent,r_psp_Rec_Strain_Hbond,r_psp_Rec_Strain_Lipo,r_psp_Rec_Strain_Packing,r_psp_Rec_Strain_SelfCont,r_psp_Rec_Strain_Solv_GB,r_psp_Rec_Strain_Solv_SA,r_psp_Rec_Strain_vdW,r_psp_Prime_MMGBSA_ligand_efficiency,r_psp_Prime_MMGBSA_ligand_efficiency_sa,r_psp_Prime_MMGBSA_ligand_efficiency_ln
ZINC000100042108_Cilomilast,-19.8498387800009,101.9442187105,9.90953660169998,-0.430418117000016,-27.99240236883,-2.7608505956,0.0,-61.7361303091002,,-38.7837927122,8.7372200951,-0.559530129000001,9.9095366089,0.0,0.23074629846,0.0,0.0,0.287965270399997,,-1.1314979535,23.90336618,14.5371472895,26.4397196683,0.0,-4.45820331917,0.0,0.0,-30.6780504009,,18.0627529422,-14647.8096994,-10340.878467,1468.15513244,-200.015942789,-865.879348125,-39.2443914516,-48.8536313209,-2763.92557786,,-1857.16747326,23.90336618,14.5371472895,26.4397196683,0.0,-4.45820331917,0.0,0.0,-30.6780504009,,18.0627529422,-14651.8632268,-10457.359833,1431.80587617,-199.585524672,-833.428742437,-36.483540856,-48.8536313209,-2671.51139715,,-1836.44643349,-28.5870588751004,102.503748839499,-7.20001480658539e-09,-0.430418117000016,-28.22314866729,-2.7608505956,0.0,-62.0240955794998,,-37.6522947587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,-0.7939935512,-1.1909903268,-4.70500664252665
4748,-48.0326625563994,-148.623523349199,3.38285660020006,-0.896966620000001,-30.9990111526901,-5.0841198422,0.0,170.7294028175,,-36.5413010862003,8.34100736529999,-0.0189935016000007,3.3828566083,0.0,0.0569246091700002,0.0,0.0,0.233801083500005,,4.6864185659,45.9369964564,49.5561728492,20.0699035598,0.0,-6.51841238131,0.0,0.0,-46.3106004575,,29.1399328862,-14653.9588929,-10556.4271835,1455.25863633,-200.482491292,-870.946165971,-41.5676606982,-48.8536313209,-2547.09259479,,-1843.84780169,45.9369964564,49.5561728492,20.0699035598,0.0,-6.51841238131,0.0,0.0,-46.3106004575,,29.1399328862,-14651.8632268,-10457.359833,1431.80587617,-199.585524672,-833.428742437,-36.483540856,-48.8536313209,-2671.51139715,,-1836.44643349,-56.3736699217006,-148.6045298476,-8.0999598139897e-09,-0.896966620000001,-31.05593576186,-5.0841198422,0.0,170.495601734,,-41.2277196521002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,-1.77898750208889,-2.66848125313333,-11.1812119627989
ZINC000000537822_haloperidol,-59.7309419812991,-86.0856056409993,3.91307516169991,-0.520606217000022,-26.38442145033,-3.6409389723,0.0,89.2317834245,,-36.2442282631002,10.46051207,0.463918210600003,3.9130751648,0.0,3.40359809414,0.0,0.0,-0.5134732432,,3.1933938437,-17.7637594187,-26.355921459,15.1287105583,0.0,-8.72155936667,0.0,0.0,-17.6088115245,,19.7938223731,-14729.3579282,-10569.8013601,1450.84766189,-200.106130889,-868.534723254,-40.1244798283,-48.8536313209,-2599.88842525,,-1852.89683938,-17.7637594187,-26.355921459,15.1287105583,0.0,-8.72155936667,0.0,0.0,-17.6088115245,,19.7938223731,-14651.8632268,-10457.359833,1431.80587617,-199.585524672,-833.428742437,-36.483540856,-48.8536313209,-2671.51139715,,-1836.44643349,-70.1914540512989,-86.5495238515996,-3.10001269099303e-09,-0.520606217000022,-29.78801954447,-3.6409389723,0.0,89.7452566676998,,-39.4376221068003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,-2.29734392235769,-3.44601588353654,-14.0276157311017
ZINC000000592419_Roflumilast,-87.4747192971499,-140.103757168499,1.41309161579989,-1.63200030300001,-23.46394661211,-3.2419663997,0.0,127.9740978519,,-48.4202383162001,2.63319598406,0.6843845623,1.4130916227,0.0,0.0325887270099998,0.0,0.0,0.1784332585,,0.3246978136,4.23432409715,21.1395011685,18.0343897442,0.0,-3.06068124989,0.0,0.0,-57.2220494719,,25.3431639062,-14735.103622,-10576.324089,1451.25335753,-201.217524975,-859.953370299,-39.7255072557,-48.8536313209,-2600.75934877,,-1859.5235079,4.23432409715,21.1395011685,18.0343897442,0.0,-3.06068124989,0.0,0.0,-57.2220494719,,25.3431639062,-14651.8632268,-10457.359833,1431.80587617,-199.585524672,-833.428742437,-36.483540856,-48.8536313209,-2671.51139715,,-1836.44643349,-90.1079152812108,-140.7881417308,-6.90010892867576e-09,-1.63200030300001,-23.49653533912,-3.2419663997,0.0,127.7956645934,,-48.7449361298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,-3.36441228065769,-5.04661842098654,-20.5431507989589
4748,-38.4541219764997,-85.1824301976994,-2.26061424630007,-0.906094061000005,-23.06819105068,-5.1147820485,0.0,116.9788366019,,-38.9008470367,9.3333957067,1.3766584755,-2.2606142379,0.0,4.39504085482,0.0,0.0,-2.0763537832,,7.8986643975,48.5858055765,20.9427051977,29.0289834963,0.0,-9.70970532232,0.0,0.0,-16.6241597519,,24.9479819567,-14641.7315432,-10521.599558,1458.57424542,-200.491618733,-866.20663881,-41.5983229045,-48.8536313209,-2571.1567203,,-1850.39929857,48.5858055765,20.9427051977,29.0289834963,0.0,-9.70970532232,0.0,0.0,-16.6241597519,,24.9479819567,-14651.8632268,-10457.359833,1431.80587617,-199.585524672,-833.428742437,-36.483540856,-48.8536313209,-2671.51139715,,-1836.44643349,-47.7875176832003,-86.5590886731989,-8.40009306557477e-09,-0.906094061000005,-27.4632319054999,-5.1147820485,0.0,119.0551903851,,-46.7995114342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,-1.42422673987037,-2.13634010980556,-8.9514856303813
ZINC000001530695_thioridazin,-52.7247957539003,-74.2247964231592,3.88700491040026,-0.00124299600000199,-27.9496981549501,-5.3528356156,0.0,100.5731076667,,-49.6563351679001,2.8836061078,-1.04299236093,3.887004912,0.0,0.384853664830001,0.0,0.0,0.585203326600002,,-0.930463434699998,34.3475055539,7.47203162316,20.6173446796,0.0,-5.87299340005,0.0,0.0,-17.4188450267,,29.5499676779,-14670.240517,-10524.1125978,1456.31022576,-199.586767668,-867.251433992,-41.8363764716,-48.8536313209,-2588.35713451,,-1856.55280098,34.3475055539,7.47203162316,20.6173446796,0.0,-5.87299340005,0.0,0.0,-17.4188450267,,29.5499676779,-14651.8632268,-10457.359833,1431.80587617,-199.585524672,-833.428742437,-36.483540856,-48.8536313209,-2671.51139715,,-1836.44643349,-55.6084018617003,-73.1818040622293,-1.59980118041858e-09,-0.00124299600000199,-28.33455181978,-5.3528356156,0.0,99.9879043401002,,-48.7258717332002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,-2.108991830156,-3.163487745234,-12.4973566283021
4748,-43.4966231015005,-144.218358275601,0.89434036169996,-0.687377945000009,-26.0376390301,-3.3845228022,0.0,171.108587706,,-41.1716531875002,7.1626851569,0.999524657000002,0.894340369999998,0.0,2.36950825334,0.0,0.0,-1.163565333,,4.0628772095,39.9039898015,47.5488895756,22.9556134683,0.0,-10.8810339839,0.0,0.0,-43.960002416,,24.2405231575,-14655.4558601,-10554.0293017,1455.65583,-200.272902617,-870.347415451,-39.8680636582,-48.8536313209,-2544.36281186,,-1853.37756352,39.9039898015,47.5488895756,22.9556134683,0.0,-10.8810339839,0.0,0.0,-43.960002416,,24.2405231575,-14651.8632268,-10457.359833,1431.80587617,-199.585524672,-833.428742437,-36.483540856,-48.8536313209,-2671.51139715,,-1836.44643349,-50.6593082584004,-145.2178829326,-8.30004864837974e-09,-0.687377945000009,-28.4071472834399,-3.3845228022,0.0,172.272153039,,-45.2345303970001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,-1.6109860407963,-2.41647906119444,-10.1252967601531
ZINC000001536779_Duoloxetin,-58.5097102551008,-68.9717956982404,2.92907088100014,-0.448914787999996,-27.56391608903,-6.2678171228,0.0,83.0259798792999,,-41.2123173141001,4.3975932932,-0.3508289596,2.9290708887,0.0,0.39808282657,0.0,0.0,0.0429719417999994,,1.3782965957,14.7530770551,3.74079179824,15.327634319,0.0,-4.63926933697,0.0,0.0,-14.6221018093,,14.9460220841,-14695.61986,-10522.5908369,1450.06258137,-200.03443946,-865.631927863,-42.7513579788,-48.8536313209,-2603.10751908,,-1862.71272872,14.7530770551,3.74079179824,15.327634319,0.0,-4.63926933697,0.0,0.0,-14.6221018093,,14.9460220841,-14651.8632268,-10457.359833,1431.80587617,-199.585524672,-833.428742437,-36.483540856,-48.8536313209,-2671.51139715,,-1836.44643349,-62.9073035482998,-68.6209667386411,-7.69978214520961e-09,-0.448914787999996,-27.9619989156,-6.2678171228,0.0,82.9830079374997,,-42.5906139098001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,-2.78617667881429,-4.17926501822143,-14.4664076305716
ZINC000000592419_Roflumilast,-56.9078160464996,-19.2669377420298,0.479162960400117,-1.310007697,-23.4712802267301,-3.481800278,0.0,39.6326108183998,,-49.4895639496001,2.072461152,0.500059353419999,0.4791629642,0.0,0.00517228111999968,0.0,0.0,-0.171173561500002,,1.2592401147,26.5823792465,5.77242454203,17.3741379796,0.0,-3.05614399627,0.0,0.0,-18.6763153484,,25.1682760696,-14682.1886636,-10470.8543462,1449.65917711,-200.895532369,-859.95616666,-39.965341134,-48.8536313209,-2650.55510168,,-1860.76772137,26.5823792465,5.77242454203,17.3741379796,0.0,-3.05614399627,0.0,0.0,-18.6763153484,,25.1682760696,-14651.8632268,-10457.359833,1431.80587617,-199.585524672,-833.428742437,-36.483540856,-48.8536313209,-2671.51139715,,-1836.44643349,-58.9802771984996,-19.7669970954485,-3.79986886400729e-09,-1.310007697,-23.47645250785,-3.481800278,0.0,39.8037843799002,,-50.7488040643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,-2.18876215563462,-3.28314323345192,-13.3646138687457
ZINC000084758479_brexpiprazol,-55.6986386750505,-136.892050832679,6.14758751000022,-2.24300529200002,-22.3556870244399,-7.246065068,0.0,157.1849381893,,-50.2943562582,6.19906779757,-0.34844860218,6.1475875109,0.0,0.08751586636,0.0,0.0,0.164099530899996,,0.1483134916,-3.74842412495,-3.03478716732,19.87483615,0.0,-3.56685592656,0.0,0.0,-46.3035282893,,29.2819111082,-14711.3102896,-10597.286671,1457.82829983,-201.828529964,-859.351285388,-43.729605924,-48.8536313209,-2560.62998725,,-1857.45887864,-3.74842412495,-3.03478716732,19.87483615,0.0,-3.56685592656,0.0,0.0,-46.3035282893,,29.2819111082,-14651.8632268,-10457.359833,1431.80587617,-199.585524672,-833.428742437,-36.483540856,-48.8536313209,-2671.51139715,,-1836.44643349,-61.8977064726205,-136.5436022305,-8.99717633728869e-10,-2.24300529200002,-22.4432028908,-7.246065068,0.0,157.0208386584,,-50.4426697498002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,-1.79673027984194,-2.6950954197629,-12.5617499795125
